,location,total_sqft,bath,price,bhk
1423,Brookefield,1225.0,2.0,72.0,2.0
1425,Brookefield,1746.0,3.0,115.0,3.0
1427,Brookefield,1560.0,3.0,149.0,4.0
1429,Brookefield,1382.0,2.0,84.5,2.0
1430,Brookefield,1260.0,2.0,70.0,2.0
1431,Brookefield,1206.0,2.0,90.0,2.0
1433,Brookefield,1594.0,3.0,140.0,3.0
1434,Budigere,1153.0,2.0,56.4,2.0
1435,Budigere,1162.0,2.0,59.9,2.0
1436,Budigere,1991.0,4.0,103.0,3.0
1437,Budigere,1153.0,2.0,57.0,2.0
1438,Budigere,1162.0,2.0,57.0,2.0
1439,Budigere,1139.0,2.0,62.0,2.0
1440,Budigere,1139.0,2.0,56.8,2.0
1441,Budigere,1139.0,2.0,56.85,2.0
1444,Budigere,664.0,1.0,35.0,1.0
1445,Budigere,1820.0,3.0,93.0,3.0
1446,Budigere,1636.0,3.0,85.0,3.0
1447,Budigere,1444.0,2.0,70.0,2.0
1449,Budigere,1139.0,2.0,60.0,2.0
1451,Budigere,1820.0,3.0,93.0,3.0
1453,Budigere,1162.0,2.0,58.0,2.0
1454,Budigere,1636.0,3.0,85.0,3.0
1455,Budigere,1636.0,3.0,92.0,3.0
1456,Budigere,1087.0,2.0,54.3,2.0
1458,Budigere,1149.0,2.0,65.0,2.0
1459,Budigere,664.0,1.0,35.4,1.0
1460,Budigere,1153.0,2.0,56.7,2.0
1462,Budigere,1139.0,2.0,56.5,2.0
1463,Budigere,1636.0,3.0,83.0,3.0
1464,Budigere,664.0,1.0,34.0,1.0
1466,Budigere,1162.0,2.0,58.0,2.0
1467,Budigere,1153.0,2.0,60.0,2.0
1468,Budigere,1820.0,3.0,99.0,3.0
1469,Budigere,1172.0,2.0,56.725,2.0
1472,Budigere,1820.0,3.0,95.0,3.0
1474,Budigere,1820.0,3.0,95.5,3.0
1475,Budigere,1153.0,2.0,56.0,2.0
1476,Budigere,705.0,1.0,34.545,1.0
1477,Budigere,1153.0,2.0,56.5,2.0
1478,Budigere,1153.0,2.0,58.0,2.0
1479,Budigere,1636.0,3.0,88.0,3.0
1480,Budigere,1153.0,2.0,56.55,2.0
1481,Budigere,1153.0,2.0,56.5,2.0
1482,Budigere,1153.0,2.0,60.0,2.0
1484,CV Raman Nagar,1120.0,2.0,55.0,2.0
1485,CV Raman Nagar,1070.0,2.0,55.0,2.0
1486,CV Raman Nagar,740.0,2.0,37.0,2.0
1487,CV Raman Nagar,1028.0,2.0,49.0,2.0
1488,CV Raman Nagar,1392.0,2.0,98.0,2.0
1489,CV Raman Nagar,1070.0,2.0,47.5,2.0
1490,CV Raman Nagar,1825.0,3.0,126.0,3.0
1491,CV Raman Nagar,1025.0,2.0,50.0,2.0
1493,CV Raman Nagar,1198.0,2.0,60.0,2.0
1494,CV Raman Nagar,1560.0,2.0,85.0,2.0
1495,CV Raman Nagar,1590.0,2.0,85.0,3.0
1496,CV Raman Nagar,1100.0,2.0,58.0,2.0
1497,CV Raman Nagar,1051.0,2.0,61.0,2.0
1499,CV Raman Nagar,1020.0,2.0,55.0,2.0
1500,CV Raman Nagar,1285.0,2.0,65.0,2.0
1501,CV Raman Nagar,1040.0,2.0,50.0,2.0
1502,CV Raman Nagar,1392.0,2.0,95.0,2.0
1503,CV Raman Nagar,705.0,2.0,50.0,1.0
1504,CV Raman Nagar,1125.0,2.0,46.0,2.0
1505,CV Raman Nagar,1400.0,2.0,78.0,3.0
1506,CV Raman Nagar,1400.0,2.0,78.0,3.0
1507,CV Raman Nagar,907.0,2.0,38.0,2.0
1509,CV Raman Nagar,1310.0,2.0,62.0,2.0
1510,Chamrajpet,1475.0,2.0,120.0,3.0
1511,Chamrajpet,1900.0,2.0,170.0,4.0
1512,Chamrajpet,1350.0,2.0,180.0,2.0
1513,Chamrajpet,1050.0,2.0,162.0,2.0
1514,Chamrajpet,1660.4,4.0,211.0,4.0
1515,Chamrajpet,505.0,1.0,85.0,1.0
1516,Chamrajpet,1565.0,3.0,98.91,3.0
1517,Chamrajpet,730.0,1.0,52.0,2.0
1518,Chamrajpet,650.0,1.0,40.0,2.0
1519,Chamrajpet,650.0,2.0,45.0,2.0
1520,Chamrajpet,1650.0,3.0,115.0,3.0
1521,Chandapura,650.0,1.0,17.0,2.0
1522,Chandapura,645.0,1.0,16.45,1.0
1523,Chandapura,645.0,1.0,16.45,1.0
1525,Chandapura,1015.0,2.0,25.88,2.0
1526,Chandapura,530.0,1.0,11.66,1.0
1527,Chandapura,1208.0,3.0,45.0,3.0
1529,Chandapura,1200.0,2.0,32.0,2.0
1530,Chandapura,1025.0,2.0,27.68,2.0
1531,Chandapura,582.5,1.0,15.135,1.0
1532,Chandapura,1015.0,2.0,25.88,2.0
1534,Chandapura,1065.0,2.0,33.0,3.0
1537,Chandapura,850.0,2.0,25.4,2.0
1538,Chandapura,590.0,1.0,13.57,1.0
1539,Chandapura,645.0,1.0,16.45,1.0
1540,Chandapura,630.0,1.0,13.86,1.0
1542,Chandapura,1015.0,2.0,25.88,2.0
1543,Chandapura,1107.0,2.0,43.0,3.0
1544,Chandapura,520.0,1.0,14.04,1.0
1545,Chandapura,1200.0,1.0,36.0,2.0
1546,Chandapura,975.0,2.0,24.86,2.0
1547,Chandapura,645.0,1.0,16.45,1.0
1548,Chandapura,985.0,2.0,25.12,2.0
1549,Chandapura,645.0,1.0,16.45,1.0
1550,Chandapura,975.0,2.0,24.86,2.0
1551,Chandapura,700.0,1.0,19.0,2.0
1553,Chandapura,1095.0,2.0,32.0,3.0
1554,Chandapura,1891.0,2.0,66.165,4.0
1555,Chandapura,1208.51,3.0,42.0,3.0
1556,Chandapura,876.0,2.0,29.5,2.0
1557,Chandapura,645.0,1.0,16.45,1.0
1560,Chandapura,645.0,1.0,16.45,1.0
1561,Chandapura,937.0,2.0,30.0,2.0
1562,Chandapura,1025.0,2.0,27.68,2.0
1563,Chandapura,975.0,2.0,24.86,2.0
1564,Chandapura,800.0,2.0,25.0,2.0
1565,Chandapura,645.0,1.0,16.45,1.0
1566,Chandapura,778.0,2.0,25.29,2.0
1568,Chandapura,950.0,2.0,25.65,2.0
1569,Chandapura,1200.0,2.0,36.0,2.0
1570,Chandapura,645.0,1.0,16.45,1.0
1571,Chandapura,922.0,2.0,36.0,2.0
1573,Chandapura,674.0,1.0,19.9,2.0
1578,Chandapura,985.0,2.0,25.12,2.0
1580,Chandapura,1025.0,2.0,27.68,2.0
1582,Chandapura,1015.0,2.0,25.88,2.0
1583,Chandapura,1345.0,2.0,39.5,3.0
1584,Chandapura,1033.0,2.0,30.47,3.0
1585,Chandapura,971.0,2.0,38.0,3.0
1586,Chandapura,1015.0,2.0,25.88,2.0
1587,Chandapura,800.0,1.0,30.0,2.0
1589,Chandapura,900.0,2.0,35.0,2.0
1590,Chandapura,975.0,2.0,24.86,2.0
1591,Chandapura,520.0,1.0,14.04,1.0
1594,Chandapura,1323.0,2.0,42.0,3.0
1595,Chandapura,410.0,1.0,10.0,1.0
1596,Chandapura,985.0,2.0,25.12,2.0
1597,Chandapura,645.0,1.0,16.45,1.0
1598,Chandapura,645.0,1.0,16.45,1.0
1599,Chandapura,1200.0,2.0,36.0,2.0
1600,Chandapura,740.0,1.0,22.0,2.0
1601,Chandapura,876.0,2.0,28.47,2.0
1603,Chandapura,520.0,1.0,14.04,1.0
1605,Channasandra,1009.0,2.0,38.34,2.0
1606,Channasandra,1065.0,2.0,35.0,2.0
1607,Channasandra,1470.0,2.0,90.0,3.0
1608,Channasandra,1115.0,2.0,33.45,2.0
1609,Channasandra,1030.0,2.0,34.5,2.0
1610,Channasandra,4200.0,6.0,180.0,6.0
1611,Channasandra,1115.0,2.0,40.0,2.0
1612,Channasandra,1200.0,3.0,67.77,3.0
1613,Channasandra,1104.0,2.0,35.5,2.0
1614,Channasandra,1160.0,2.0,55.0,2.0
1615,Channasandra,1050.0,2.0,41.0,2.0
1616,Channasandra,1065.0,2.0,40.47,2.0
1618,Channasandra,1070.0,2.0,38.0,2.0
1619,Channasandra,1050.0,2.0,35.0,2.0
1620,Channasandra,1093.0,2.0,34.0,2.0
1621,Channasandra,808.0,2.0,40.0,2.0
1622,Channasandra,1010.0,2.0,36.0,2.0
1623,Channasandra,1123.0,2.0,36.0,2.0
1624,Channasandra,1000.0,2.0,35.0,2.0
1625,Channasandra,1500.0,4.0,89.45,4.0
1626,Channasandra,1330.0,2.0,51.83,3.0
1627,Channasandra,1093.0,2.0,37.0,2.0
1628,Channasandra,1115.0,2.0,35.8,2.0
1629,Channasandra,1500.0,3.0,61.95,3.0
1631,Channasandra,830.0,2.0,36.28,2.0
1632,Channasandra,1200.0,3.0,67.77,3.0
1633,Channasandra,1195.0,2.0,56.0,3.0
1634,Channasandra,1175.0,2.0,38.0,2.0
1635,Channasandra,1200.0,2.0,46.13,2.0
1636,Channasandra,1065.0,2.0,36.0,2.0
1637,Channasandra,1050.0,2.0,44.41,2.0
1638,Channasandra,1010.0,2.0,32.0,2.0
1639,Chikka Tirupathi,2600.0,5.0,120.0,4.0
1640,Chikka Tirupathi,2325.0,4.0,120.0,4.0
1641,Chikka Tirupathi,1808.0,4.0,80.27,3.0
1642,Chikka Tirupathi,3297.0,3.0,135.0,3.0
1643,Chikka Tirupathi,3500.0,5.0,150.0,4.0
1644,Chikka Tirupathi,2646.0,3.0,99.0,3.0
1645,Chikka Tirupathi,2704.0,5.0,105.0,4.0
1646,Chikka Tirupathi,2325.0,3.0,95.0,3.0
1647,Chikka Tirupathi,2325.0,4.0,120.0,4.0
1648,Chikka Tirupathi,3250.0,4.0,136.0,4.0
1649,Chikka Tirupathi,2665.0,5.0,125.0,4.0
1650,Chikkabanavar,950.0,2.0,40.0,2.0
1651,Chikkabanavar,1600.0,2.0,80.0,3.0
1652,Chikkabanavar,600.0,1.0,25.0,2.0
1653,Chikkabanavar,2460.0,7.0,80.0,4.0
1654,Chikkabanavar,2400.0,4.0,97.0,5.0
1655,Chikkabanavar,2000.0,4.0,65.0,5.0
1656,Chikkabanavar,1067.0,2.0,38.0,2.0
1657,Chikkabanavar,1320.0,2.0,46.0,3.0
1658,Chikkabanavar,4000.0,7.0,110.0,8.0
1660,Chikkalasandra,1100.0,2.0,50.0,2.0
1661,Chikkalasandra,1208.0,2.0,49.0,2.0
1662,Chikkalasandra,875.0,2.0,52.8,2.0
1664,Chikkalasandra,1800.0,1.0,128.0,2.0
1665,Chikkalasandra,1070.0,2.0,50.0,2.0
1666,Chikkalasandra,1230.0,2.0,48.0,2.0
1667,Chikkalasandra,1428.0,2.0,80.0,3.0
1668,Chikkalasandra,1070.0,2.0,42.8,2.0
1672,Chikkalasandra,1075.0,2.0,46.76,2.0
1675,Chikkalasandra,1070.0,2.0,45.48,2.0
1676,Chikkalasandra,1100.0,2.0,50.0,2.0
1679,Chikkalasandra,1224.0,2.0,45.0,2.0
1680,Chikkalasandra,1090.0,2.0,47.42,2.0
1683,Chikkalasandra,1325.0,2.0,59.0,2.0
1684,Chikkalasandra,1290.0,2.0,72.0,2.0
1687,Choodasandra,1115.0,2.0,50.0,2.0
1688,Choodasandra,1300.0,2.0,57.0,2.0
1689,Choodasandra,1530.0,3.0,77.0,3.0
1692,Choodasandra,1197.0,2.0,63.0,2.0
1693,Choodasandra,1465.0,3.0,75.0,3.0
1694,Choodasandra,1115.0,2.0,50.0,2.0
1695,Choodasandra,1215.0,2.0,59.0,2.0
1696,Choodasandra,1254.0,2.0,65.0,3.0
1697,Choodasandra,1580.0,3.0,105.0,3.0
1698,Choodasandra,725.0,2.0,36.0,2.0
1699,Choodasandra,2429.0,3.0,210.0,4.0
1701,Choodasandra,1075.0,2.0,45.0,2.0
1702,Choodasandra,1180.0,2.0,71.22,2.0
1703,Choodasandra,1140.0,2.0,62.0,2.0
1705,Choodasandra,1560.0,3.0,78.0,3.0
1706,Choodasandra,1065.0,2.0,46.0,2.0
1707,Choodasandra,1115.0,2.0,50.0,2.0
1709,Choodasandra,1115.0,2.0,50.0,2.0
1710,Cooke Town,3950.0,4.0,450.0,4.0
1711,Cooke Town,2388.0,4.0,239.0,3.0
1712,Cooke Town,1710.0,2.0,200.0,2.0
1713,Cooke Town,1310.0,2.0,111.0,2.0
1714,Cooke Town,3900.0,5.0,415.0,4.0
1715,Cooke Town,2560.0,4.0,310.0,3.0
1716,Cooke Town,2600.0,3.0,375.0,3.0
1717,Cooke Town,1100.0,2.0,90.0,2.0
1718,Cooke Town,2300.0,3.0,250.0,3.0
1719,Cox Town,1975.0,3.0,150.0,3.0
1720,Cox Town,1650.0,3.0,100.0,3.0
1721,Cox Town,1730.0,3.0,140.0,3.0
1722,Cox Town,1600.0,3.0,150.0,3.0
1723,Cox Town,1250.0,2.0,95.0,2.0
1724,Cox Town,1280.0,2.0,120.0,2.0
1725,Cox Town,1073.0,2.0,72.0,2.0
1726,Cox Town,1000.0,2.0,58.0,2.0
1727,Cox Town,1200.0,2.0,140.0,2.0
1728,Cunningham Road,5270.0,4.0,1250.0,4.0
1729,Cunningham Road,3875.0,3.0,864.0,3.0
1730,Cunningham Road,3875.0,3.0,800.0,3.0
1731,Cunningham Road,3815.0,3.0,763.0,3.0
1732,Cunningham Road,2880.0,3.0,501.0,3.0
1733,Cunningham Road,3489.0,3.0,662.0,3.0
1734,Cunningham Road,4170.0,3.0,800.0,3.0
1736,Cunningham Road,2700.0,3.0,501.0,3.0
1737,Cunningham Road,7500.0,6.0,1800.0,4.0
1738,Cunningham Road,2880.0,3.0,560.0,3.0
1739,Dairy Circle,1855.0,3.0,225.0,3.0
1740,Dairy Circle,1980.0,3.0,224.0,3.0
1741,Dairy Circle,3730.0,6.0,450.0,4.0
1742,Dairy Circle,3754.0,6.0,430.0,4.0
1743,Dairy Circle,3754.0,6.0,480.0,4.0
1744,Dairy Circle,1541.0,2.0,181.0,2.0
1745,Dairy Circle,2735.0,4.0,340.0,3.0
1746,Dairy Circle,3730.0,6.0,430.0,4.0
1747,Dasanapura,708.0,2.0,37.0,2.0
1748,Dasanapura,708.0,1.0,40.0,2.0
1749,Dasanapura,965.0,2.0,42.5,2.0
1751,Dasanapura,814.0,2.0,42.0,2.0
1752,Dasanapura,1163.0,2.0,65.0,2.0
1753,Dasanapura,1286.0,2.0,68.0,3.0
1754,Dasanapura,708.0,2.0,31.15,2.0
1755,Dasanapura,708.0,1.0,41.0,1.0
1756,Dasanapura,814.0,2.0,43.7,2.0
1757,Dasarahalli,1295.0,2.0,65.0,2.0
1759,Dasarahalli,1150.0,2.0,70.0,2.0
1760,Dasarahalli,2100.0,3.0,120.0,3.0
1761,Dasarahalli,1220.0,2.0,52.0,2.0
1762,Dasarahalli,1375.0,2.0,60.0,2.0
1763,Dasarahalli,1333.0,2.0,78.56,2.0
1764,Dasarahalli,1220.0,2.0,62.0,2.0
1765,Devanahalli,3210.0,2.0,192.0,4.0
1766,Devanahalli,1260.0,2.0,66.78,2.0
1767,Devanahalli,1282.0,2.0,68.52,3.0
1768,Devanahalli,1360.0,2.0,65.0,2.0
1770,Devanahalli,1408.0,2.0,85.0,2.0
1771,Devanahalli,1010.0,2.0,51.0,2.0
1772,Devanahalli,1080.0,2.0,53.35,2.0
1773,Devanahalli,2400.0,5.0,100.0,5.0
1776,Devanahalli,1174.0,2.0,59.0,2.0
1778,Devanahalli,658.0,1.0,34.0,1.0
1779,Devanahalli,658.0,1.0,26.91,1.0
1780,Devanahalli,698.5,1.0,28.57,1.0
1781,Devanahalli,1080.0,2.0,52.0,2.0
1782,Devanahalli,1700.0,3.0,88.2,3.0
1783,Devanahalli,1498.0,3.0,79.15,3.0
1784,Devanahalli,1466.0,3.0,77.59,3.0
1785,Devanahalli,775.0,1.0,39.0,1.0
1786,Devanahalli,1020.0,2.0,49.87,1.0
1788,Devanahalli,1550.0,3.0,85.0,3.0
1790,Devanahalli,1340.0,2.0,65.0,2.0
1791,Devanahalli,2125.0,3.0,107.0,3.0
1794,Devanahalli,658.0,1.0,26.91,1.0
1796,Devanahalli,1010.0,2.0,58.0,2.0
1799,Devanahalli,1075.0,2.0,52.57,1.0
1801,Devarachikkanahalli,1250.0,2.0,40.0,2.0
1802,Devarachikkanahalli,1200.0,2.0,83.0,2.0
1803,Devarachikkanahalli,1170.0,2.0,40.0,2.0
1804,Devarachikkanahalli,615.0,1.0,24.0,1.0
1805,Devarachikkanahalli,1230.0,2.0,58.0,2.0
1806,Devarachikkanahalli,1425.0,2.0,65.0,3.0
1807,Devarachikkanahalli,947.0,2.0,43.0,2.0
1808,Devarachikkanahalli,1130.0,2.0,36.0,2.0
1809,Devarachikkanahalli,1417.0,2.0,76.0,3.0
1810,Devarachikkanahalli,1230.0,2.0,58.0,2.0
1811,Devarachikkanahalli,1705.0,3.0,75.0,3.0
1812,Devarachikkanahalli,1116.0,2.0,47.0,2.0
1813,Devarachikkanahalli,991.0,2.0,40.0,2.0
1815,Dodda Nekkundi,1260.0,2.0,55.0,2.0
1816,Dodda Nekkundi,850.0,2.0,28.0,2.0
1817,Dodda Nekkundi,1390.0,2.0,60.0,2.0
1818,Dodda Nekkundi,1804.0,3.0,121.0,3.0
1819,Dodda Nekkundi,1080.0,2.0,50.0,2.0
1820,Dodda Nekkundi,1999.0,3.0,132.0,3.0
1821,Dodda Nekkundi,1100.0,2.0,48.0,2.0
1822,Dodda Nekkundi,1999.0,3.0,135.0,3.0
1823,Dodda Nekkundi,1100.0,2.0,41.15,2.0
1824,Dodda Nekkundi,1252.0,2.0,71.0,3.0
1825,Dodda Nekkundi,1155.0,2.0,46.0,2.0
1826,Dodda Nekkundi,1128.0,2.0,45.0,2.0
1827,Dodda Nekkundi,1148.0,2.0,56.0,2.0
1829,Dodda Nekkundi,1145.0,2.0,46.5,2.0
1830,Dodda Nekkundi,1829.0,3.0,125.0,3.0
1831,Dodda Nekkundi,1100.0,2.0,41.16,2.0
1832,Dodda Nekkundi,1100.0,2.0,46.75,2.0
1833,Dodda Nekkundi,1315.0,2.0,50.0,2.0
1834,Dodda Nekkundi,1135.0,2.0,58.0,2.0
1835,Dodda Nekkundi,1100.0,2.0,41.18,2.0
1836,Dodda Nekkundi,1370.0,2.0,60.0,2.0
1837,Dodda Nekkundi,1200.0,2.0,71.0,2.0
1838,Dodda Nekkundi,1585.0,2.0,79.0,3.0
1839,Dodda Nekkundi,1005.0,2.0,45.0,2.0
1840,Dodda Nekkundi,1264.0,2.0,52.0,2.0
1841,Doddaballapur,1690.0,3.0,80.0,4.0
1842,Doddaballapur,4200.0,4.0,325.0,4.0
1843,Doddaballapur,3876.0,3.0,300.0,3.0
1844,Doddaballapur,2776.0,4.0,195.0,3.0
1845,Doddaballapur,2440.0,3.0,142.0,3.0
1846,Doddaballapur,2400.0,3.0,200.0,4.0
1847,Doddaballapur,654.0,1.0,49.0,1.0
1848,Doddaballapur,3206.0,5.0,270.0,4.0
1849,Doddakallasandra,1010.0,2.0,40.39,2.0
1854,Doddakallasandra,1010.0,2.0,40.39,2.0
1855,Doddakallasandra,1072.0,2.0,42.87,2.0
1856,Doddakallasandra,1010.0,2.0,40.4,2.0
1857,Doddakallasandra,1010.0,2.0,41.0,2.0
1858,Doddakallasandra,1072.0,2.0,42.87,2.0
1859,Doddathoguru,970.0,2.0,33.0,2.0
1860,Doddathoguru,1050.0,2.0,32.0,2.0
1861,Doddathoguru,850.0,2.0,25.0,2.0
1862,Doddathoguru,1030.0,2.0,42.0,2.0
1863,Doddathoguru,1549.0,3.0,65.0,3.0
1865,Doddathoguru,550.0,1.0,17.0,1.0
1866,Doddathoguru,1015.0,2.0,33.5,2.0
1867,Doddathoguru,1104.0,2.0,39.0,2.0
1868,Doddathoguru,915.0,2.0,32.0,2.0
1869,Doddathoguru,750.0,1.0,25.5,1.0
1870,Doddathoguru,1595.0,3.0,62.0,3.0
1871,Doddathoguru,855.0,2.0,32.0,2.0
1872,Doddathoguru,1105.0,2.0,50.0,2.0
1873,Doddathoguru,925.0,2.0,30.0,2.0
1875,Doddathoguru,1208.0,3.0,45.0,3.0
1876,Doddathoguru,1100.0,2.0,50.0,2.0
1877,Doddathoguru,940.0,2.0,32.9,2.0
1878,Doddathoguru,1382.0,3.0,65.0,3.0
1879,Doddathoguru,1107.0,2.0,44.0,2.0
1880,Doddathoguru,907.0,2.0,40.0,2.0
1881,Doddathoguru,1783.0,3.0,85.0,3.0
1882,Doddathoguru,550.0,1.0,17.0,1.0
1883,Dodsworth Layout,30000.0,4.0,2100.0,4.0
1884,Dodsworth Layout,1400.0,2.0,80.0,2.0
1885,Dodsworth Layout,1717.0,3.0,99.0,3.0
1886,Dodsworth Layout,1594.0,3.0,99.0,3.0
1887,Dodsworth Layout,1893.0,3.0,115.0,3.0
1888,Dodsworth Layout,1400.0,2.0,85.0,2.0
1889,Dodsworth Layout,30400.0,4.0,1824.0,6.0
1890,Domlur,1540.0,3.0,90.0,3.0
1891,Domlur,1875.0,2.0,150.0,3.0
1892,Domlur,1429.0,3.0,86.0,3.0
1893,Domlur,640.0,1.0,55.0,1.0
1894,Domlur,1050.0,2.0,85.0,2.0
1895,Domlur,1800.0,3.0,150.0,3.0
1896,Domlur,1720.0,3.0,135.0,3.0
1897,Domlur,1950.0,3.0,165.0,3.0
1898,Domlur,2180.0,3.0,285.0,3.0
1899,Domlur,650.0,1.0,70.0,1.0
1900,Domlur,780.0,1.0,70.0,1.0
1901,Domlur,2180.0,3.0,285.0,3.0
1902,Domlur,1740.0,3.0,120.0,3.0
1903,Domlur,1695.0,3.0,125.0,3.0
1904,Domlur,1246.0,2.0,95.0,2.0
1905,Domlur,2100.0,3.0,145.0,3.0
1906,Domlur,1276.0,2.0,80.0,2.0
1907,Domlur,1850.0,3.0,180.0,3.0
1908,Domlur,2955.0,3.0,235.0,3.0
1909,Domlur,1650.0,3.0,180.0,3.0
1910,Dommasandra,805.0,2.0,22.14,2.0
1912,Dommasandra,1267.0,3.0,56.0,3.0
1913,Dommasandra,1200.0,2.0,50.0,2.0
1914,Dommasandra,2700.0,3.0,68.0,4.0
1916,Dommasandra,1153.0,2.0,43.5,2.0
1917,Dommasandra,1500.0,2.0,40.0,2.0
1918,Dommasandra,1090.0,2.0,43.5,2.0
1919,Dommasandra,850.0,2.0,25.4,2.0
1920,Dommasandra,674.0,1.0,19.9,2.0
1921,Dommasandra,999.0,2.0,32.9,2.0
1922,EPIP Zone,1499.0,5.0,102.0,3.0
1923,EPIP Zone,1285.0,2.0,82.0,2.0
1924,EPIP Zone,2330.0,3.0,162.0,3.0
1925,EPIP Zone,1330.0,2.0,92.5,2.0
1926,EPIP Zone,1330.0,2.0,86.98,2.0
1927,EPIP Zone,1330.0,2.0,93.36,2.0
1929,EPIP Zone,1500.0,3.0,102.0,3.0
1930,EPIP Zone,1280.0,2.0,69.0,2.0
1931,EPIP Zone,1125.0,2.0,65.0,2.0
1932,EPIP Zone,1734.0,3.0,125.0,3.0
1934,EPIP Zone,1343.0,2.0,86.0,2.0
1935,EPIP Zone,2350.0,4.0,163.0,3.0
1936,EPIP Zone,1860.0,3.0,130.0,3.0
1937,EPIP Zone,2210.0,3.0,165.0,3.0
1938,EPIP Zone,2710.0,3.0,177.0,3.0
1941,Electronic City,1025.0,2.0,47.0,3.0
1944,Electronic City,1500.0,2.0,64.5,3.0
1945,Electronic City,1060.0,2.0,60.0,2.0
1946,Electronic City,1152.0,2.0,64.5,2.0
1948,Electronic City,770.0,1.0,36.0,2.0
1949,Electronic City,1070.0,2.0,52.0,2.0
1950,Electronic City,1025.0,2.0,46.0,2.0
1951,Electronic City,589.0,1.0,27.0,1.0
1953,Electronic City,910.0,2.0,40.0,2.0
1954,Electronic City,1108.0,2.0,63.0,2.0
1955,Electronic City,1128.0,2.0,65.0,2.0
1956,Electronic City,1800.0,3.0,95.0,3.0
1957,Electronic City,630.0,1.0,34.65,1.0
1958,Electronic City,1128.0,2.0,63.0,2.0
1959,Electronic City,1599.0,3.0,99.0,3.0
1962,Electronic City,1070.0,2.0,55.0,2.0
1963,Electronic City,940.0,2.0,41.0,2.0
1965,Electronic City,1128.0,2.0,68.75,2.0
1966,Electronic City,1342.0,2.0,73.3,2.0
1967,Electronic City,1360.0,2.0,71.0,3.0
1969,Electronic City,1265.0,2.0,56.93,2.0
1970,Electronic City,1691.0,2.0,102.0,3.0
1971,Electronic City,1128.0,2.0,65.49,2.0
1974,Electronic City,1070.0,2.0,56.1,2.0
1975,Electronic City,2000.0,4.0,120.0,4.0
1976,Electronic City,890.0,2.0,45.0,2.0
1977,Electronic City,1128.0,2.0,65.65,2.0
1978,Electronic City,865.0,2.0,42.0,2.0
1980,Electronic City,910.0,2.0,42.0,2.0
1982,Electronic City,1360.0,2.0,75.0,3.0
1983,Electronic City,770.0,1.0,40.0,2.0
1984,Electronic City,1128.0,2.0,64.0,2.0
1985,Electronic City,1070.0,2.0,54.0,2.0
1987,Electronic City,1571.0,3.0,89.0,3.0
1988,Electronic City,1111.0,3.0,50.0,3.0
1989,Electronic City,870.0,2.0,39.5,2.0
1991,Electronic City,1374.0,2.0,72.0,3.0
1993,Electronic City,1128.0,2.0,65.35,2.0
1994,Electronic City,1128.0,2.0,65.0,2.0
1995,Electronic City,755.0,1.0,34.0,2.0
1999,Electronic City,1563.0,3.0,91.84,3.0
2000,Electronic City,1652.0,3.0,70.0,3.0
2002,Electronic City,1025.0,2.0,54.5,2.0
2004,Electronic City,1350.0,3.0,58.0,3.0
2007,Electronic City,1700.0,3.0,75.0,3.0
2009,Electronic City,1128.0,2.0,68.0,2.0
2010,Electronic City,700.0,1.0,35.0,1.0
2011,Electronic City,1360.0,2.0,70.5,3.0
2013,Electronic City,1571.0,3.0,105.0,3.0
2017,Electronic City,1600.0,3.0,104.0,3.0
2019,Electronic City,1500.0,2.0,100.0,3.0
2023,Electronic City,1152.0,2.0,65.0,2.0
2024,Electronic City,1070.0,2.0,60.0,2.0
2025,Electronic City,1128.0,2.0,65.5,2.0
2026,Electronic City,1200.0,2.0,59.0,2.0
2027,Electronic City,1152.0,2.0,65.75,2.0
2029,Electronic City,1070.0,2.0,55.0,2.0
2030,Electronic City,1060.0,2.0,58.0,2.0
2031,Electronic City,1025.0,2.0,54.1,2.0
2036,Electronic City,1500.0,2.0,78.0,3.0
2037,Electronic City,1213.0,2.0,59.32,2.0
2038,Electronic City,1575.0,3.0,90.0,3.0
2039,Electronic City,435.0,1.0,19.5,1.0
2040,Electronic City,1449.0,3.0,100.0,3.0
2042,Electronic City,1125.0,2.0,58.0,2.0
2044,Electronic City,1575.0,3.0,101.0,3.0
2046,Electronic City,550.0,1.0,12.0,1.0
2047,Electronic City,919.0,2.0,40.0,2.0
2048,Electronic City,1500.0,2.0,78.25,3.0
2049,Electronic City,1363.0,2.0,79.0,2.0
2052,Electronic City,1108.0,2.0,67.15,2.0
2054,Electronic City,1128.0,2.0,65.7,2.0
2056,Electronic City,1060.0,2.0,51.0,2.0
2058,Electronic City,1650.0,3.0,100.0,3.0
2060,Electronic City,1025.0,2.0,49.0,2.0
2062,Electronic City,1449.0,3.0,90.0,3.0
2064,Electronic City,1070.0,2.0,58.0,2.0
2065,Electronic City,1210.0,2.0,54.0,2.0
2066,Electronic City,1500.0,2.0,75.0,3.0
2068,Electronic City,1070.0,2.0,52.0,2.0
2069,Electronic City,2435.0,4.0,119.0,4.0
2074,Electronic City,1073.0,2.0,60.0,2.0
2075,Electronic City,1500.0,2.0,78.0,3.0
2076,Electronic City,1070.0,2.0,47.0,2.0
2077,Electronic City,1296.0,2.0,65.0,2.0
2078,Electronic City,1140.0,2.0,70.93,2.0
2084,Electronic City,2093.0,4.0,104.0,4.0
2085,Electronic City,1025.0,2.0,53.9,2.0
2086,Electronic City,940.0,2.0,54.0,2.0
